"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0.050000001,0,0.0049999999
-0.013971061,0.00048159721,0,0.0001,0.050000001,0.0001,0.0049999999
-0.027942123,0.00096319441,0,0.00020000001,0.050000001,0.00020000001,0.0049999999
-0.041913185,0.0014447917,0,0.00030000001,0.050000001,0.00030000001,0.0049999999
-0.055884246,0.0019263888,0,0.00040000002,0.050000001,0.00040000002,0.0049999999
-0.06985531,0.0024079862,0,0.00050000002,0.050000001,0.00050000002,0.0049999999
-0.083826371,0.0028895834,0,0.00060000003,0.050000001,0.00060000003,0.0049999999
-0.097797431,0.0033711805,0,0.00070000003,0.050000001,0.00070000003,0.0049999999
-0.11176849,0.0038527776,0,0.00080000004,0.050000001,0.00080000004,0.0049999999
-0.12573954,0.0043343748,0,0.00089999998,0.050000001,0.00089999998,0.0049999999
-0.13971062,0.0048159724,0,0.001,0.050000001,0.001,0.0049999999
-0.15368167,0.0052975691,0,0.0011,0.050000001,0.0011,0.0049999999
-0.16765274,0.0057791667,0,0.0012000001,0.050000001,0.0012000001,0.0049999999
-0.1780201,0.0060479511,0,0.0013,0.050000001,0.0013,0.0049999999
-0.18478379,0.0061039231,0,0.0014000001,0.050000001,0.0014000001,0.0049999999
-0.19154745,0.0061598956,0,0.0015,0.050000001,0.0015,0.0049999999
-0.19831114,0.0062158676,0,0.0016000001,0.050000001,0.0016000001,0.0049999999
-0.20507482,0.0062718401,0,0.0017,0.050000001,0.0017,0.0049999999
-0.21183848,0.0063278121,0,0.0018,0.050000001,0.0018,0.0049999999
-0.21860218,0.0063837841,0,0.0019,0.050000001,0.0019,0.0049999999
-0.22536586,0.0064397566,0,0.0020000001,0.050000001,0.0020000001,0.0049999999
-0.23212953,0.0064957286,0,0.0020999999,0.050000001,0.0020999999,0.0049999999
-0.23889321,0.0065517011,0,0.0022,0.050000001,0.0022,0.0049999999
-0.24565689,0.0066076731,0,0.0023000001,0.050000001,0.0023000001,0.0049999999
-0.25242057,0.0066636456,0,0.0024000001,0.050000001,0.0024000001,0.0049999999
-0.25918424,0.0067196176,0,0.0024999999,0.050000001,0.0024999999,0.0049999999
-0.26277548,0.006637333,0,0.0026,0.050000001,0.0026,0.0049999999
-0.26636672,0.0065550478,0,0.0027000001,0.050000001,0.0027000001,0.0049999999
-0.26995796,0.0064727631,0,0.0028000001,0.050000001,0.0028000001,0.0049999999
-0.2735492,0.0063904785,0,0.0029,0.050000001,0.0029,0.0049999999
-0.27714047,0.0063081933,0,0.003,0.050000001,0.003,0.0049999999
-0.28073171,0.0062259086,0,0.0031000001,0.050000001,0.0031000001,0.0049999999
-0.28432295,0.006143624,0,0.0032000002,0.050000001,0.0032000002,0.0049999999
-0.28791419,0.0060613393,0,0.0033,0.050000001,0.0033,0.0049999999
-0.29150543,0.0059790541,0,0.0034,0.050000001,0.0034,0.0049999999
-0.29509667,0.0058967695,0,0.0035000001,0.050000001,0.0035000001,0.0049999999
-0.29868791,0.0058144848,0,0.0035999999,0.050000001,0.0035999999,0.0049999999
-0.30227914,0.0057321996,0,0.0037,0.050000001,0.0037,0.0049999999
-0.30483523,0.0056575499,0,0.0038000001,0.050000001,0.0038000001,0.0049999999
-0.30635616,0.0055905348,0,0.0039000001,0.050000001,0.0039000001,0.0049999999
-0.30787706,0.0055235201,0,0.0040000002,0.050000001,0.0040000002,0.0049999999
-0.309398,0.0054565049,0,0.0041,0.050000001,0.0041,0.0049999999
-0.3109189,0.0053894902,0,0.0041999999,0.050000001,0.0041999999,0.0049999999
-0.31243983,0.005322475,0,0.0043000001,0.050000001,0.0043000001,0.0049999999
